"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=species&interval=Paleogene,Quaternary&cc=EUR&show=class,timebins,acconly"
"Access Time","Thu 2021-07-01 18:01:05 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","species"
"","cc","EUR"
"","interval","Paleogene,Quaternary"
"","timerule","major"
"","taxon_status","all"
"","show","class,timebins,acconly"
"Elapsed Time","2.17"
"Records Found","12426"
"Records Returned","12426"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","time_bins"
"349695","occ","","","33287","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349696","occ","","","32964","Deinogalerix minor","species","91808","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349697","occ","","","32964","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349698","occ","","","33289","Deinogalerix minor","species","91808","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349699","occ","","","33289","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349728","occ","","","33290","Deinogalerix minor","species","91808","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349739","occ","","","33291","Deinogalerix minor","species","91808","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349776","occ","","","32931","Deinogalerix brevirostris","species","91809","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349788","occ","","","33295","Deinogalerix brevirostris","species","91809","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349789","occ","","","33295","Deinogalerix koenigswaldi","species","54017","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349800","occ","","","33296","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349801","occ","","","33297","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349814","occ","","","32954","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349815","occ","","","33299","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349846","occ","","","33300","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349856","occ","","","32955","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349857","occ","","","32962","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349858","occ","","","33301","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349859","occ","","","32953","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349860","occ","","","32951","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349861","occ","","","33302","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349862","occ","","","33303","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349863","occ","","","32958","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349864","occ","","","33304","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349865","occ","","","33305","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349866","occ","","","33306","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349867","occ","","","32956","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349868","occ","","","32970","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349869","occ","","","33307","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349870","occ","","","33308","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349871","occ","","","33309","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349872","occ","","","32946","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349873","occ","","","33310","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349874","occ","","","33311","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349875","occ","","","33312","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"349876","occ","","","32947","Deinogalerix intermedius","species","91810","Vallesian","Turolian","11.608","5.333","8828","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Deinogalerix","Tortonian"
"350642","occ","","","32240","Parapodemus coronensis","species","54113","MN 14","","4.9","4.2","8865","Chordata","Mammalia","Rodentia","Muridae","Parapodemus","Zanclean"
"350643","occ","10290","","32240","Baranogale helbingi","species","54024","MN 14","","4.9","4.2","8867","Chordata","Mammalia","Carnivora","Mustelidae","Baranogale","Zanclean"
"350671","occ","10298","","32240","Glis minor","species","105395","MN 14","","4.9","4.2","8884","Chordata","Mammalia","Rodentia","Gliridae","Myoxus (Glis)","Zanclean"
"351236","occ","","","33396","Rhinolophus delphinensis","species","91951","MN 15","","4.2","3.2","8869","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Zanclean"
"351237","occ","","","33396","Rhinolophus grivensis","species","91931","MN 15","","4.2","3.2","8869","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Zanclean"
"351238","occ","","","33396","Plecotus crassidens","species","53414","MN 15","","4.2","3.2","8869","Chordata","Mammalia","Chiroptera","Vespertilionidae","Plecotus","Zanclean"
"351243","occ","","","33396","Myotis helleri","species","54029","MN 15","","4.2","3.2","8869","Chordata","Mammalia","Chiroptera","Vespertilionidae","Myotis","Zanclean"
"351565","occ","","","33495","Glis glis","species","233810","Late Pleistocene","","0.126","0.0117","8884","Chordata","Mammalia","Rodentia","Gliridae","Myoxus (Glis)","Late Pleistocene"
"351573","occ","","","32240","Amphidyromys pusillus","species","131757","MN 14","","4.9","4.2","8884","Chordata","Mammalia","Rodentia","Gliridae","Glirulus","Zanclean"
"351574","occ","","","32240","Muscardinus pliocaenicus","species","91257","MN 14","","4.9","4.2","8884","Chordata","Mammalia","Rodentia","Gliridae","Muscardinus","Zanclean"
"351575","occ","","","32240","Muscardinus dacicus","species","99405","MN 14","","4.9","4.2","8884","Chordata","Mammalia","Rodentia","Gliridae","Muscardinus","Zanclean"
"352556","occ","","","33396","Muscardinus pliocaenicus","species","91257","MN 15","","4.2","3.2","8884","Chordata","Mammalia","Rodentia","Gliridae","Muscardinus","Zanclean"
"352557","occ","","","33396","Glis minor","species","105395","MN 15","","4.2","3.2","8884","Chordata","Mammalia","Rodentia","Gliridae","Myoxus (Glis)","Zanclean"
"352559","occ","","","33473","Muscardinus pliocaenicus","species","91257","MN 16","","3.2","2.588","8884","Chordata","Mammalia","Rodentia","Gliridae","Muscardinus","Piacenzian"
"352560","occ","","","33473","Glis minor","species","105395","MN 16","","3.2","2.588","8884","Chordata","Mammalia","Rodentia","Gliridae","Myoxus (Glis)","Piacenzian"
"352561","occ","","","32485","Muscardinus avellanarius","species","104206","MN 17","","2.588","1.806","8884","Chordata","Mammalia","Rodentia","Gliridae","Muscardinus","Gelasian"
"352563","occ","","","32240","Neocricetodon polonicus","species","54031","MN 14","","4.9","4.2","8885","Chordata","Mammalia","Rodentia","Cricetidae","Neocricetodon","Zanclean"
"352564","occ","","","32240","Kowalskia magna","species","109266","MN 14","","4.9","4.2","8885","Chordata","Mammalia","Rodentia","Cricetidae","Neocricetodon","Zanclean"
"352724","occ","","","33396","Erinaceus samsonowiczi","species","92554","MN 15","","4.2","3.2","8929","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Erinaceus","Zanclean"
"352726","occ","19052","","33396","Desmana kowalskae","species","94103","MN 15","","4.2","3.2","23416","Chordata","Mammalia","NO_ORDER_SPECIFIED","Talpidae","Desmana","Zanclean"
"352727","occ","19049","","33396","Galemys sulimskii","species","94102","MN 15","","4.2","3.2","23416","Chordata","Mammalia","NO_ORDER_SPECIFIED","Talpidae","Galemys","Zanclean"
"352730","occ","","","33473","Desmana nehringi","species","94096","MN 16","","3.2","2.588","8929","Chordata","Mammalia","NO_ORDER_SPECIFIED","Talpidae","Desmana","Piacenzian"
"352731","occ","","","33473","Galemys kormosi","species","94106","MN 16","","3.2","2.588","8929","Chordata","Mammalia","NO_ORDER_SPECIFIED","Talpidae","Galemys","Piacenzian"
"352738","occ","","","33638","Galemys kormosi","species","94106","MN 16","","3.2","2.588","8929","Chordata","Mammalia","NO_ORDER_SPECIFIED","Talpidae","Galemys","Piacenzian"
"354439","occ","","","33396","Beremendia fissidens","species","376801","MN 15","","4.2","3.2","8998","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Beremendia","Zanclean"
"356138","occ","","","32198","Sorex minutus","species","115169","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Sorex","Calabrian"
"356139","occ","","","32198","Beremendia fissidens","species","376801","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Beremendia","Calabrian"
"356142","occ","","","32198","Glis sackdillingensis","species","131711","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Gliridae","Myoxus (Glis)","Calabrian"
"356143","occ","","","32198","Sicista praeloriger","species","99402","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Zapodidae","Sicista","Calabrian"
"356145","occ","","","32198","Cricetus cricetus","species","104201","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Cricetidae","Cricetus","Calabrian"
"356153","occ","","","32198","Allophaiomys pliocaenicus","species","43896","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Cricetidae","Allophaiomys","Calabrian"
"356154","occ","","","32198","Lemmus lemmus","species","104199","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Cricetidae","Lemmus","Calabrian"
"356155","occ","","","32198","Mustela praenivalis","species","376897","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Carnivora","Mustelidae","Mustela","Calabrian"
"356156","occ","","","32198","Gulo gulo","species","48854","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Carnivora","Mustelidae","Gulo","Calabrian"
"356180","occ","","","33973","Talpa fossilis","species","93614","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","NO_ORDER_SPECIFIED","Talpidae","Talpa","Calabrian"
"356182","occ","","","33973","Sorex minutus","species","115169","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Sorex","Calabrian"
"356183","occ","","","33973","Sorex margaritodon","species","99184","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Sorex","Calabrian"
"356184","occ","","","33973","Petenyia hungarica","species","54110","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Petenyia","Calabrian"
"356185","occ","","","33973","Beremendia fissidens","species","376801","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Beremendia","Calabrian"
"356192","occ","","","33973","Glis sackdillingensis","species","131711","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Gliridae","Myoxus (Glis)","Calabrian"
"356193","occ","","","33973","Muscardinus dacicus","species","99405","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Gliridae","Muscardinus","Calabrian"
"356195","occ","","","33973","Sicista praeloriger","species","99402","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Zapodidae","Sicista","Calabrian"
"356196","occ","","","33973","Mus sylvaticus","species","104207","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Muridae","Mus","Calabrian"
"356199","occ","","","33973","Cricetus cricetus","species","104201","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Cricetidae","Cricetus","Calabrian"
"356209","occ","","","33973","Allophaiomys pliocaenicus","species","43896","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Cricetidae","Allophaiomys","Calabrian"
"356210","occ","","","33973","Canis mosbachensis","species","366711","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Carnivora","Canidae","Canis","Calabrian"
"356211","occ","","","33973","Mustela praenivalis","species","376897","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Carnivora","Mustelidae","Mustela","Calabrian"
"356213","occ","","","33973","Gulo gulo","species","48854","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Carnivora","Mustelidae","Gulo","Calabrian"
"356214","occ","10322","","33973","Lynx issiodorensis","species","370346","Early Pleistocene","","2.588","0.781","9147","Chordata","Mammalia","Carnivora","Felidae","Lynx","Calabrian"
"356217","occ","","","33973","Ursus etruscus","species","366707","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Carnivora","Ursidae","Ursus","Calabrian"
"356254","occ","","","33974","Sorex margaritodon","species","99184","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Sorex","Calabrian"
"356255","occ","","","33974","Beremendia fissidens","species","376801","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Beremendia","Calabrian"
"356259","occ","","","33974","Sicista praeloriger","species","99402","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Zapodidae","Sicista","Calabrian"
"356260","occ","","","33974","Mus sylvaticus","species","104207","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Muridae","Mus","Calabrian"
"356262","occ","","","33974","Cricetus cricetus","species","104201","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Cricetidae","Cricetus","Calabrian"
"356269","occ","","","33974","Prolagurus pannonicus","species","354676","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Cricetidae","Prolagurus","Calabrian"
"356272","occ","","","33974","Canis mosbachensis","species","366711","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Carnivora","Canidae","Canis","Calabrian"
"356296","occ","","","33974","Putorius stromeri","species","376892","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Carnivora","Mustelidae","Mustela (Putorius)","Calabrian"
"356297","occ","","","33974","Martes vetus","species","376882","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Carnivora","Mustelidae","Martes","Calabrian"
"356298","occ","","","33974","Gulo gulo","species","48854","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Carnivora","Mustelidae","Gulo","Calabrian"
"356299","occ","","","33974","Meles meles","species","104171","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Carnivora","Mustelidae","Meles","Calabrian"
"356301","occ","12417","","33974","Lynx issiodorensis","species","370346","Early Pleistocene","","2.588","0.781","9580","Chordata","Mammalia","Carnivora","Felidae","Lynx","Calabrian"
"356309","occ","12465","","33974","Stephanorhinus etruscus","species","54872","Early Pleistocene","","2.588","0.781","9580","Chordata","Mammalia","Perissodactyla","Rhinocerotidae","Stephanorhinus","Calabrian"
"356888","occ","","","32240","Paranourosorex gigas","species","110727","MN 14","","4.9","4.2","8999","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Paranourosorex","Zanclean"
"356889","occ","","","32240","Blarinoides mariae","species","94099","MN 14","","4.9","4.2","8998","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Blarinoides","Zanclean"
"356892","occ","","","33473","Beremendia fissidens","species","376801","MN 16","","3.2","2.588","8998","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Beremendia","Piacenzian"
"356905","occ","","","33873","Beremendia fissidens","species","376801","MN 14","MN 15","4.9","3.2","8998","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Beremendia","Zanclean"
"356907","occ","","","33872","Kordosia topali","species","108995","MN 15","","4.2","3.2","8999","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Kordosia","Zanclean"
"357103","occ","","","33975","Talpa fossilis","species","93614","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","NO_ORDER_SPECIFIED","Talpidae","Talpa","Calabrian"
"357105","occ","","","33975","Sorex runtonensis","species","54109","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Sorex","Calabrian"
"357106","occ","","","33975","Sorex minutus","species","115169","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Sorex","Calabrian"
"357107","occ","","","33975","Beremendia fissidens","species","376801","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Beremendia","Calabrian"
"357111","occ","","","33975","Glis sackdillingensis","species","131711","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Gliridae","Myoxus (Glis)","Calabrian"
"357113","occ","","","33975","Sicista praeloriger","species","99402","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Zapodidae","Sicista","Calabrian"
"357114","occ","","","33975","Mus sylvaticus","species","104207","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Muridae","Mus","Calabrian"
"357115","occ","","","33975","Apodemus mystacinus","species","394167","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Muridae","Apodemus","Calabrian"
"357117","occ","","","33975","Cricetus cricetus","species","104201","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Cricetidae","Cricetus","Calabrian"
"357124","occ","","","33975","Prolagurus pannonicus","species","354676","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Cricetidae","Prolagurus","Calabrian"
"357127","occ","","","33975","Canis mosbachensis","species","366711","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Carnivora","Canidae","Canis","Calabrian"
"357129","occ","","","33975","Mustela praenivalis","species","376897","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Carnivora","Mustelidae","Mustela","Calabrian"
"357133","occ","12466","","33975","Stephanorhinus etruscus","species","54872","Early Pleistocene","","2.588","0.781","9580","Chordata","Mammalia","Perissodactyla","Rhinocerotidae","Stephanorhinus","Calabrian"
"357135","occ","","","33975","Mammuthus meridionalis","species","46026","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","Calabrian"
"357137","occ","","","34008","Beremendia fissidens","species","376801","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Beremendia","Calabrian"
"357139","occ","","","34008","Mus sylvaticus","species","104207","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Muridae","Mus","Calabrian"
"357141","occ","","","34008","Cricetus cricetus","species","104201","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Cricetidae","Cricetus","Calabrian"
"357152","occ","","","34008","Lemmus lemmus","species","104199","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Cricetidae","Lemmus","Calabrian"
"357153","occ","","","34008","Gulo gulo","species","48854","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Carnivora","Mustelidae","Gulo","Calabrian"
"357158","occ","","","34009","Talpa fossilis","species","93614","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","NO_ORDER_SPECIFIED","Talpidae","Talpa","Calabrian"
"357159","occ","","","34009","Sorex runtonensis","species","54109","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Sorex","Calabrian"
"357160","occ","","","34009","Sorex minutus","species","115169","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Sorex","Calabrian"
"357161","occ","","","34009","Sorex margaritodon","species","99184","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Sorex","Calabrian"
"357162","occ","","","34009","Beremendia fissidens","species","376801","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Beremendia","Calabrian"
"357167","occ","","","34009","Glis sackdillingensis","species","131711","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Gliridae","Myoxus (Glis)","Calabrian"
"357168","occ","","","34009","Muscardinus dacicus","species","99405","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Gliridae","Muscardinus","Calabrian"
"357169","occ","","","34009","Sicista praeloriger","species","99402","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Zapodidae","Sicista","Calabrian"
"357170","occ","","","34009","Mus sylvaticus","species","104207","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Muridae","Mus","Calabrian"
"357171","occ","","","34009","Apodemus mystacinus","species","394167","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Muridae","Apodemus","Calabrian"
"357173","occ","","","34009","Cricetus cricetus","species","104201","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Rodentia","Cricetidae","Cricetus","Calabrian"
"357185","occ","","","34009","Canis mosbachensis","species","366711","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Carnivora","Canidae","Canis","Calabrian"
"357187","occ","","","34009","Mustela praenivalis","species","376897","Early Pleistocene","","2.588","0.781","8655","Chordata","Mammalia","Carnivora","Mustelidae","Mustela","Calabrian"
"357191","occ","12467","","34009","Stephanorhinus etruscus","species","54872","Early Pleistocene","","2.588","0.781","9580","Chordata","Mammalia","Perissodactyla","Rhinocerotidae","Stephanorhinus","Calabrian"
"357196","occ","","","34010","Sorex minutus","species","115169","Middle Pleistocene","","0.781","0.126","8655","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Sorex","Middle Pleistocene"
"357197","occ","","","34010","Beremendia fissidens","species","376801","Middle Pleistocene","","0.781","0.126","8655","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Beremendia","Middle Pleistocene"
"357200","occ","","","34010","Marmota marmota","species","104200","Middle Pleistocene","","0.781","0.126","8655","Chordata","Mammalia","Rodentia","Sciuridae","Marmota","Middle Pleistocene"
"357201","occ","","","34010","Sicista praeloriger","species","99402","Middle Pleistocene","","0.781","0.126","8655","Chordata","Mammalia","Rodentia","Zapodidae","Sicista","Middle Pleistocene"
"357202","occ","","","34010","Mus sylvaticus","species","104207","Middle Pleistocene","","0.781","0.126","8655","Chordata","Mammalia","Rodentia","Muridae","Mus","Middle Pleistocene"
"357204","occ","","","34010","Cricetus cricetus","species","104201","Middle Pleistocene","","0.781","0.126","8655","Chordata","Mammalia","Rodentia","Cricetidae","Cricetus","Middle Pleistocene"
"357215","occ","","","34010","Microtus agrestis","species","130649","Middle Pleistocene","","0.781","0.126","8655","Chordata","Mammalia","Rodentia","Cricetidae","Microtus","Middle Pleistocene"
"357216","occ","","","34010","Lemmus lemmus","species","104199","Middle Pleistocene","","0.781","0.126","8655","Chordata","Mammalia","Rodentia","Cricetidae","Lemmus","Middle Pleistocene"
"357217","occ","","","34010","Canis mosbachensis","species","366711","Middle Pleistocene","","0.781","0.126","8655","Chordata","Mammalia","Carnivora","Canidae","Canis","Middle Pleistocene"
"357220","occ","","","34010","Gulo gulo","species","48854","Middle Pleistocene","","0.781","0.126","8655","Chordata","Mammalia","Carnivora","Mustelidae","Gulo","Middle Pleistocene"
"357222","occ","","","34010","Ursus deningeri","species","376909","Middle Pleistocene","","0.781","0.126","8655","Chordata","Mammalia","Carnivora","Ursidae","Ursus","Middle Pleistocene"
"357229","occ","","","34010","Mammuthus trogontherii","species","159796","Middle Pleistocene","","0.781","0.126","8655","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","Middle Pleistocene"
