"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=species&interval=Paleogene,Quaternary&cc=EUR&show=class,timebins,acconly"
"Access Time","Thu 2021-07-01 18:01:05 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","species"
"","cc","EUR"
"","interval","Paleogene,Quaternary"
"","timerule","major"
"","taxon_status","all"
"","show","class,timebins,acconly"
"Elapsed Time","2.17"
"Records Found","12426"
"Records Returned","12426"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","time_bins"
"296808","occ","","","31018","Eucricetodon martinensis","species","94252","Late Oligocene","","28.4","23.03","7916","Chordata","Mammalia","Rodentia","Cricetidae","Eucricetodon","Chattian"
"296814","occ","","","31018","Heterocricetodon landroveri","species","117709","Late Oligocene","","28.4","23.03","7916","Chordata","Mammalia","Rodentia","Cricetidae","Heterocricetodon","Chattian"
"296815","occ","","","31018","Heterocricetodon stehlini","species","94283","Late Oligocene","","28.4","23.03","7916","Chordata","Mammalia","Rodentia","Cricetidae","Heterocricetodon","Chattian"
"296816","occ","","","31019","Eucricetodon dubius","species","94249","Late Oligocene","","28.4","23.03","7916","Chordata","Mammalia","Rodentia","Cricetidae","Eucricetodon","Chattian"
"297810","occ","","","13073","Prototherium intermedium","species","53108","Late Eocene","","37.2","33.9","4355","Chordata","Mammalia","Sirenia","Dugongidae","Prototherium","Priabonian"
"297913","occ","","","28617","Neosqualodon assenzae","species","63423","Langhian","","15.97","13.82","24745","Chordata","Mammalia","Cetacea","NO_FAMILY_SPECIFIED","Neosqualodon","Langhian"
"297914","occ","","","28617","Neosqualodon gastaldii gemmellaroi","subspecies","53167","Langhian","","15.97","13.82","28755","Chordata","Mammalia","Cetacea","NO_FAMILY_SPECIFIED","Neosqualodon","Langhian"
"297915","occ","","","28617","Squalodon bariensis","species","63727","Langhian","","15.97","13.82","7898","Chordata","Mammalia","Cetacea","Squalodontidae","Squalodon","Langhian"
"297916","occ","","","28617","Squalodon dalpiazi","species","53166","Langhian","","15.97","13.82","7898","Chordata","Mammalia","Cetacea","Squalodontidae","Squalodon","Langhian"
"303743","occ","","","31019","Heterocricetodon landroveri","species","117709","Late Oligocene","","28.4","23.03","7916","Chordata","Mammalia","Rodentia","Cricetidae","Heterocricetodon","Chattian"
