"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=genus&idqual=certain&interval=Paleocene,Holocene&cc=ASI&show=timebins,acconly"
"Access Time","Wed 2020-06-24 05:07:43 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","genus"
"","idqual","certain"
"","cc","ASI"
"","interval","Paleocene,Holocene"
"","timerule","major"
"","taxon_status","all"
"","show","timebins,acconly"
"Elapsed Time","2.34"
"Records Found","7890"
"Records Returned","7890"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","time_bins"
"138831","occ","","","11800","Sivapithecus indicus","species","133676","Late Miocene","","11.608","5.333","4199","Tortonian"
"138835","occ","","","11803","Camelus","genus","42521","Late Pleistocene","","0.126","0.0117","4200","Late Pleistocene"
"138836","occ","","","11803","Gazella","genus","42774","Late Pleistocene","","0.126","0.0117","10604","Late Pleistocene"
"138837","occ","","","11803","Dama mesopotamica","species","149388","Late Pleistocene","","0.126","0.0117","10604","Late Pleistocene"
"138839","occ","","","11803","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","10604","Late Pleistocene"
"138840","occ","","","11803","Sus","genus","42416","Late Pleistocene","","0.126","0.0117","10604","Late Pleistocene"
"138841","occ","","","11803","Hippopotamus amphibius","species","77338","Late Pleistocene","","0.126","0.0117","10604","Late Pleistocene"
"138842","occ","","","11803","Cervus elaphus","species","45017","Late Pleistocene","","0.126","0.0117","10604","Late Pleistocene"
"138843","occ","","","11803","Capreolus capreolus","species","104248","Late Pleistocene","","0.126","0.0117","10604","Late Pleistocene"
"141404","occ","","","12121","Kharthlidelphis","genus","53160","Chattian","","28.1","23.03","6018","Chattian"
"147929","occ","","","13060","Hipparion","genus","43000","Late Miocene","","11.608","5.333","4341","Tortonian"
"147930","occ","","","13060","Stegodon","genus","43271","Late Miocene","","11.608","5.333","4341","Tortonian"
"147931","occ","","","13060","Aceratherium","genus","43188","Late Miocene","","11.608","5.333","4341","Tortonian"
"147932","occ","","","13060","Hippopotamodon","genus","90215","Late Miocene","","11.608","5.333","4341","Tortonian"
"147933","occ","","","13060","Siwalikosorex","genus","40485","Late Miocene","","11.608","5.333","4341","Tortonian"
"147934","occ","","","13060","Rhizomyoides","genus","41938","Late Miocene","","11.608","5.333","4341","Tortonian"
"147935","occ","","","13060","Kanisamys","genus","41789","Late Miocene","","11.608","5.333","4341","Tortonian"
"147938","occ","","","13064","Basiloterus hussaini","species","53165","Bartonian","","41.3","38","6010","Bartonian"
"148356","occ","","","13096","Microcetus sharkovi","species","53137","Chattian","","28.1","23.03","4365","Chattian"
"148766","occ","","","13127","Atopotherium","genus","86715","Late Eocene","","37.2","33.9","4375","Priabonian"
"150048","occ","","","13293","Bubalus","genus","42755","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Middle Pleistocene"
"150049","occ","","","13293","Megalovis","genus","42796","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Middle Pleistocene"
"150050","occ","","","13293","Capricornis sumatraensis","species","149670","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Middle Pleistocene"
"150051","occ","","","13293","Hydropotes","genus","42676","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Middle Pleistocene"
"150052","occ","","","13293","Cervus unicolor","species","149436","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Middle Pleistocene"
"150054","occ","","","13293","Sus scrofa","species","104172","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Middle Pleistocene"
"150055","occ","","","13293","Rhinoceros","genus","43222","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Middle Pleistocene"
"150056","occ","","","13293","Tapirus (Megatapirus) augustus","species","192846","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Middle Pleistocene"
"150058","occ","","","13293","Stegodon","genus","43271","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Middle Pleistocene"
"150059","occ","","","13293","Lynx","genus","41058","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Middle Pleistocene"
"150060","occ","","","13293","Panthera pardus","species","104158","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Middle Pleistocene"
"150061","occ","","","13293","Panthera tigris","species","104157","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Middle Pleistocene"
"150062","occ","","","13293","Crocuta crocuta","species","232133","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Middle Pleistocene"
"150063","occ","","","13293","Paguma larvata","species","232933","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Middle Pleistocene"
"150067","occ","","","13293","Arctonyx collaris","species","157496","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Middle Pleistocene"
"150068","occ","","","13293","Ursus thibetanus","species","104029","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Middle Pleistocene"
"150069","occ","","","13293","Ailuropoda melanoleuca","species","104015","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Middle Pleistocene"
"150070","occ","","","13293","Cuon","genus","41204","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Middle Pleistocene"
