"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=genus&idqual=certain&interval=Paleocene,Holocene&cc=EUR&show=timebins,acconly"
"Access Time","Wed 2020-06-24 05:07:08 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","genus"
"","idqual","certain"
"","cc","EUR"
"","interval","Paleocene,Holocene"
"","timerule","major"
"","taxon_status","all"
"","show","timebins,acconly"
"Elapsed Time","2.63"
"Records Found","17723"
"Records Returned","17723"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","time_bins"
"296814","occ","","","31018","Heterocricetodon landroveri","species","117709","Late Oligocene","","28.4","23.03","7916","Chattian"
"296816","occ","","","31019","Eucricetodon dubius","species","94249","Late Oligocene","","28.4","23.03","7916","Chattian"
"297810","occ","","","13073","Prototherium intermedium","species","53108","Late Eocene","","37.2","33.9","4355","Priabonian"
"297913","occ","","","28617","Neosqualodon assenzae","species","63423","Langhian","","15.97","13.82","24745","Langhian"
"297914","occ","","","28617","Neosqualodon gastaldii gemmellaroi","subspecies","53167","Langhian","","15.97","13.82","28755","Langhian"
"297916","occ","","","28617","Squalodon dalpiazi","species","53166","Langhian","","15.97","13.82","7898","Langhian"
"303741","occ","","","31019","Heterocricetodon","genus","41782","Late Oligocene","","28.4","23.03","7916","Chattian"
"303742","occ","","","31019","Pseudocricetodon","genus","41863","Late Oligocene","","28.4","23.03","7916","Chattian"
"303827","occ","","","31019","Pseudocricetodon adroveri","species","94280","Late Oligocene","","28.4","23.03","7917","Chattian"
"303828","occ","","","28402","Pseudocricetodon","genus","41863","Late Oligocene","","28.4","23.03","7917","Chattian"
"303829","occ","","","31013","Pseudocricetodon adroveri","species","94280","Late Oligocene","","28.4","23.03","7917","Chattian"
"303831","occ","","","31017","Pseudocricetodon simplex","species","94286","Late Oligocene","","28.4","23.03","7917","Chattian"
"303833","occ","","","31018","Pseudocricetodon simplex","species","94286","Late Oligocene","","28.4","23.03","7917","Chattian"
"331744","occ","","","31223","Progonomys cathalai","species","108969","MN 10","","9.7","8.7","8519","Tortonian"
