"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=species&interval=Paleocene,Holocene&cc=SOA&show=timebins,acconly"
"Access Time","Sun 2020-04-12 23:31:27 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","species"
"","cc","SOA"
"","interval","Paleocene,Holocene"
"","timerule","major"
"","taxon_status","all"
"","show","timebins,acconly"
"Elapsed Time","1.7"
"Records Found","5201"
"Records Returned","5201"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","time_bins"
"161401","occ","","","14205","Gashternia ctalehor","species","99580","Early Eocene","","55.8","48.6","6147","Ypresian"
"161402","occ","","","14205","Ernestokokenia yirunhor","species","99581","Early Eocene","","55.8","48.6","6147","Ypresian"
"161404","occ","","","14205","Peripantostylops orehor","species","99587","Early Eocene","","55.8","48.6","6147","Ypresian"
"161405","occ","","","14205","Henricosbornia waitehor","species","99588","Early Eocene","","55.8","48.6","6147","Ypresian"
"161407","occ","","","14205","Seudenius cteronc","species","99641","Early Eocene","","55.8","48.6","6147","Ypresian"
"161408","occ","","","14205","Isotemnus ctalego","species","99643","Early Eocene","","55.8","48.6","6147","Ypresian"
"161410","occ","","","14205","Kibenikhoria get","species","99646","Early Eocene","","55.8","48.6","6147","Ypresian"
"161411","occ","","","14205","Shecenia ctirneru","species","99650","Early Eocene","","55.8","48.6","6147","Ypresian"
"161425","occ","","","14208","Notogale mitis","species","188016","Deseadan","","29","21","6192","Chattian"
"161426","occ","","","14208","Pharsophorus lacerans","species","188015","Deseadan","","29","21","6192","Chattian"
"161427","occ","","","14208","Proborhyaena gigantea","species","188014","Deseadan","","29","21","6192","Chattian"
"161430","occ","","","14209","Notogale mitis","species","188016","Deseadan","","29","21","6192","Chattian"
"161431","occ","","","14211","Pharsophorus lacerans","species","188015","Deseadan","","29","21","6192","Chattian"
"161472","occ","","","14210","Palaeothentes boliviensis","species","245974","Deseadan","","29","21","6192","Chattian"
"200520","occ","32100","","13276","Eoviscaccia boliviana","species","270719","Deseadan","","29","21","58120","Chattian"
"200523","occ","32147","","13276","Trachytherus spegazzinianus","species","187919","Deseadan","","29","21","43122","Chattian"
"212864","occ","","","21686","Sylvilagus floridanus","species","161906","Holocene","","0.0117","0","4785","Holocene"
"212866","occ","","","21686","Sigmodon alstoni","species","380040","Holocene","","0.0117","0","4785","Holocene"
"212867","occ","","","21686","Pecari tajacu","species","51899","Holocene","","0.0117","0","4785","Holocene"
"212868","occ","","","21686","Leopardus pardalis","species","46525","Holocene","","0.0117","0","4785","Holocene"
"212869","occ","","","21686","Puma yagouaroundi","species","46533","Holocene","","0.0117","0","4785","Holocene"
