"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=genus&idqual=certain&interval=Paleocene,Holocene&cc=AFR&show=timebins,acconly"
"Access Time","Wed 2020-06-24 05:09:02 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","genus"
"","idqual","certain"
"","cc","AFR"
"","interval","Paleocene,Holocene"
"","timerule","major"
"","taxon_status","all"
"","show","timebins,acconly"
"Elapsed Time","2.39"
"Records Found","10039"
"Records Returned","10039"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","time_bins"
"212013","occ","","","21294","Hystrix","genus","42010","Calabrian","","1.806","0.781","4454","Calabrian"
"212014","occ","","","21294","Sivatherium maurusium","species","133601","Calabrian","","1.806","0.781","4454","Calabrian"
"212015","occ","","","21294","Kolpochoerus limnetes","species","133593","Calabrian","","1.806","0.781","4454","Calabrian"
"212016","occ","","","21294","Metridiochoerus compactus","species","375011","Calabrian","","1.806","0.781","4454","Calabrian"
"212017","occ","","","21294","Hippopotamus gorgops","species","77339","Calabrian","","1.806","0.781","4454","Calabrian"
"212018","occ","","","21294","Deinotherium bozasi","species","157873","Calabrian","","1.806","0.781","4454","Calabrian"
"212019","occ","","","21294","Kobus sigmoidalis","species","374844","Calabrian","","1.806","0.781","4454","Calabrian"
"212022","occ","","","21294","Gazella","genus","42774","Calabrian","","1.806","0.781","4454","Calabrian"
"212029","occ","","","21294","Menelikia lyrocera","species","374850","Calabrian","","1.806","0.781","4454","Calabrian"
"212030","occ","","","21294","Hippopotamus karumensis","species","77344","Calabrian","","1.806","0.781","4454","Calabrian"
"212031","occ","","","21294","Hippopotamus aethiopicus","species","83620","Calabrian","","1.806","0.781","4454","Calabrian"
"212032","occ","","","21294","Tragelaphus strepsiceros","species","234376","Calabrian","","1.806","0.781","4454","Calabrian"
"212039","occ","","","21294","Gazella praethomsoni","species","374479","Calabrian","","1.806","0.781","4454","Calabrian"
"212041","occ","","","21294","Connochaetes","genus","133829","Calabrian","","1.806","0.781","4454","Calabrian"
"212049","occ","","","21294","Homo erectus","species","83084","Calabrian","","1.806","0.781","4454","Calabrian"
"212050","occ","","","21295","Pelorovis","genus","42829","Calabrian","","1.806","0.781","4454","Calabrian"
"212051","occ","","","21297","Equus","genus","42996","Calabrian","","1.806","0.781","4454","Calabrian"
"212052","occ","","","21298","Gazella","genus","42774","Calabrian","","1.806","0.781","4454","Calabrian"
"212053","occ","","","21298","Pelorovis","genus","42829","Calabrian","","1.806","0.781","4454","Calabrian"
"212054","occ","","","21300","Equus","genus","42996","Gelasian","","2.588","1.806","4454","Gelasian"
"212055","occ","","","21300","Gazella","genus","42774","Gelasian","","2.588","1.806","4454","Gelasian"
"212056","occ","","","21300","Pelorovis","genus","42829","Gelasian","","2.588","1.806","4454","Gelasian"
