"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=lump_genus&idqual=genus_certain&interval=Paleocene,Holocene&cc=SOA&show=acconly"
"Access Time","Sat 2020-04-11 01:09:45 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","lump_genus"
"","idqual","genus_certain"
"","cc","SOA"
"","interval","Paleocene,Holocene"
"","timerule","major"
"","taxon_status","all"
"","show","acconly"
"Elapsed Time","1.02"
"Records Found","6462"
"Records Returned","6462"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"161410","occ","","","14205","Kibenikhoria","genus","43347","Early Eocene","","55.8","48.6","6147"
"161411","occ","","","14205","Shecenia","genus","43456","Early Eocene","","55.8","48.6","6147"
"161425","occ","","","14208","Notogale","genus","40027","Deseadan","","29","21","6192"
"161426","occ","","","14208","Pharsophorus","genus","40031","Deseadan","","29","21","6192"
"161427","occ","","","14208","Proborhyaena","genus","40033","Deseadan","","29","21","6192"
"161430","occ","","","14209","Notogale","genus","40027","Deseadan","","29","21","6192"
"161431","occ","","","14211","Pharsophorus","genus","40031","Deseadan","","29","21","6192"
"161472","occ","","","14210","Palaeothentes","genus","40057","Deseadan","","29","21","6192"
"200518","occ","","","13276","Glyptatelus","genus","43575","Deseadan","","29","21","6438"
"200520","occ","32100","","13276","Eoviscaccia","genus","146409","Deseadan","","29","21","58120"
"200521","occ","33476","","13276","Cephalomyopsis","genus","335704","Deseadan","","29","21","58125"
"200523","occ","32147","","13276","Trachytherus","genus","43429","Deseadan","","29","21","43122"
"200524","occ","","","13276","Prohegetotherium","genus","43445","Deseadan","","29","21","6438"
"200737","occ","","","20983","Prepidolops","genus","40072","Middle Eocene","","48.6","37.2","6454"
"200738","occ","","","20984","Bonapartherium","genus","40082","Middle Eocene","","48.6","37.2","6454"
"212864","occ","","","21686","Sylvilagus","genus","42193","Holocene","","0.0117","0","4785"
"212865","occ","","","21686","Heteromys","genus","46952","Holocene","","0.0117","0","4785"
"212866","occ","","","21686","Sigmodon","genus","41876","Holocene","","0.0117","0","4785"
"212867","occ","","","21686","Pecari","genus","42434","Holocene","","0.0117","0","4785"
"212868","occ","","","21686","Leopardus","genus","41057","Holocene","","0.0117","0","4785"
"212869","occ","","","21686","Puma","genus","41073","Holocene","","0.0117","0","4785"
"212870","occ","","","21686","Conepatus","genus","41104","Holocene","","0.0117","0","4785"
"212871","occ","","","21686","Eira","genus","159113","Holocene","","0.0117","0","4785"
"212872","occ","","","21686","Galictis","genus","41111","Holocene","","0.0117","0","4785"
"212873","occ","","","21686","Procyon","genus","41262","Holocene","","0.0117","0","4785"
"212877","occ","","","21686","Eumops","genus","40694","Holocene","","0.0117","0","4785"
"212879","occ","","","21686","Molossops","genus","279373","Holocene","","0.0117","0","4785"
"212880","occ","","","21686","Molossus","genus","48788","Holocene","","0.0117","0","4785"
"212882","occ","","","21686","Artibeus","genus","159104","Holocene","","0.0117","0","4785"
"212883","occ","","","21686","Carollia","genus","159133","Holocene","","0.0117","0","4785"
"212884","occ","","","21686","Desmodus","genus","40655","Holocene","","0.0117","0","4785"
"212885","occ","","","21686","Glossophaga","genus","103143","Holocene","","0.0117","0","4785"
"212887","occ","","","21686","Micronycteris","genus","117402","Holocene","","0.0117","0","4785"
"212889","occ","","","21686","Phyllostomus","genus","103136","Holocene","","0.0117","0","4785"
"212892","occ","","","21686","Sturnira","genus","159135","Holocene","","0.0117","0","4785"
"212894","occ","","","21686","Trachops","genus","117400","Holocene","","0.0117","0","4785"
"212896","occ","","","21686","Eptesicus","genus","40671","Holocene","","0.0117","0","4785"
"212897","occ","","","21686","Lasiurus","genus","40675","Holocene","","0.0117","0","4785"
"212898","occ","","","21686","Myotis","genus","40678","Holocene","","0.0117","0","4785"
"212899","occ","","","21686","Rhogeessa","genus","117403","Holocene","","0.0117","0","4785"
"212900","occ","","","21686","Alouatta","genus","92602","Holocene","","0.0117","0","4785"
"212901","occ","","","21686","Cuniculus","genus","233805","Holocene","","0.0117","0","4785"
"212902","occ","","","21686","Rhynchonycteris","genus","159127","Holocene","","0.0117","0","4785"
"212903","occ","","","21686","Noctilio","genus","103153","Holocene","","0.0117","0","4785"
"212907","occ","","","21686","Tonatia","genus","269559","Holocene","","0.0117","0","4785"
"212917","occ","","","21686","Cebus","genus","92615","Holocene","","0.0117","0","4785"
"212918","occ","","","21686","Cerdocyon","genus","41200","Holocene","","0.0117","0","4785"
"212919","occ","","","21686","Sciurus","genus","41525","Holocene","","0.0117","0","4785"
"212920","occ","","","21686","Oryzomys","genus","41828","Holocene","","0.0117","0","4785"
"212921","occ","","","21686","Zygodontomys","genus","97136","Holocene","","0.0117","0","4785"
"212922","occ","","","21686","Coendou","genus","42136","Holocene","","0.0117","0","4785"
"212923","occ","","","21686","Echimys","genus","233839","Holocene","","0.0117","0","4785"
"212924","occ","","","21686","Dasyprocta","genus","105149","Holocene","","0.0117","0","4785"
"212925","occ","","","21686","Hydrochoerus","genus","42128","Holocene","","0.0117","0","4785"
"212926","occ","","","21686","Odocoileus","genus","42682","Holocene","","0.0117","0","4785"
"212928","occ","","","21687","Choloepus","genus","83046","Holocene","","0.0117","0","4787"
"212929","occ","","","21687","Dasyprocta","genus","105149","Holocene","","0.0117","0","4787"
"212930","occ","","","21687","Myoprocta","genus","159111","Holocene","","0.0117","0","4787"
"212931","occ","","","21687","Pecari","genus","42434","Holocene","","0.0117","0","4787"
"212932","occ","","","21687","Speothos","genus","159112","Holocene","","0.0117","0","4787"
"212933","occ","","","21687","Eira","genus","159113","Holocene","","0.0117","0","4787"
"212934","occ","","","21687","Lontra","genus","41121","Holocene","","0.0117","0","4787"
"212935","occ","","","21687","Nasua","genus","41257","Holocene","","0.0117","0","4787"
"212936","occ","","","21687","Potos","genus","103568","Holocene","","0.0117","0","4787"
"212937","occ","","","21687","Caluromys","genus","39952","Holocene","","0.0117","0","4787"
"212939","occ","","","21687","Didelphis","genus","39959","Holocene","","0.0117","0","4787"
"212940","occ","","","21687","Marmosa","genus","39970","Holocene","","0.0117","0","4787"
"212942","occ","","","21687","Monodelphis","genus","39976","Holocene","","0.0117","0","4787"
"212944","occ","","","21687","Metachirus","genus","159114","Holocene","","0.0117","0","4787"
"212945","occ","","","21687","Tapirus","genus","43137","Holocene","","0.0117","0","4787"
"212946","occ","","","21687","Alouatta","genus","92602","Holocene","","0.0117","0","4787"
"212947","occ","","","21687","Ateles","genus","92603","Holocene","","0.0117","0","4787"
"212948","occ","","","21687","Sapajus","genus","233907","Holocene","","0.0117","0","4787"
"212949","occ","","","21687","Chiropotes","genus","92608","Holocene","","0.0117","0","4787"
"212950","occ","","","21687","Pithecia","genus","92609","Holocene","","0.0117","0","4787"
"212951","occ","","","21687","Saguinus","genus","92613","Holocene","","0.0117","0","4787"
"212952","occ","","","21687","Mesomys","genus","159115","Holocene","","0.0117","0","4787"
"212953","occ","","","21687","Isothrix","genus","159116","Holocene","","0.0117","0","4787"
"212954","occ","","","21687","Proechimys","genus","159117","Holocene","","0.0117","0","4787"
"212955","occ","","","21687","Cuniculus","genus","233805","Holocene","","0.0117","0","4787"
"212957","occ","","","21687","Dasypus","genus","43535","Holocene","","0.0117","0","4787"
"212958","occ","","","21687","Tamandua","genus","83035","Holocene","","0.0117","0","4787"
"212959","occ","","","21687","Myrmecophaga","genus","43654","Holocene","","0.0117","0","4787"
"212960","occ","","","21687","Oryzomys","genus","41828","Holocene","","0.0117","0","4787"
"212961","occ","","","21687","Coendou","genus","42136","Holocene","","0.0117","0","4787"
"212962","occ","","","21687","Philander","genus","39984","Holocene","","0.0117","0","4787"
"212963","occ","","","21687","Bradypus","genus","72263","Holocene","","0.0117","0","4787"
"212964","occ","","","21687","Cyclopes","genus","83037","Holocene","","0.0117","0","4787"
"212965","occ","","","21687","Priodontes","genus","159119","Holocene","","0.0117","0","4787"
"212967","occ","","","21687","Sciurus","genus","41525","Holocene","","0.0117","0","4787"
"212971","occ","","","21687","Neacomys","genus","159120","Holocene","","0.0117","0","4787"
"212972","occ","","","21687","Rhipidomys","genus","100635","Holocene","","0.0117","0","4787"
"212973","occ","","","21687","Tayassu","genus","42440","Holocene","","0.0117","0","4787"
"212974","occ","","","21687","Mazama","genus","47951","Holocene","","0.0117","0","4787"
"212975","occ","","","21687","Cervus","genus","42666","Holocene","","0.0117","0","4787"
"212976","occ","","","21687","Puma","genus","41073","Holocene","","0.0117","0","4787"
"212977","occ","","","21687","Panthera","genus","41066","Holocene","","0.0117","0","4787"
"213037","occ","","","21689","Pecari","genus","42434","Holocene","","0.0117","0","4790"
"213038","occ","","","21689","Leopardus","genus","41057","Holocene","","0.0117","0","4790"
"213039","occ","","","21689","Puma","genus","41073","Holocene","","0.0117","0","4790"
