"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mammalia&taxon_reso=species&interval=Paleogene,Quaternary&cc=ASI&show=class"
"Access Time","Fri 2021-07-02 05:12:54 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","idreso","species"
"","cc","ASI"
"","interval","Paleogene,Quaternary"
"","timerule","major"
"","taxon_status","all"
"","show","class"
"Elapsed Time","1.87"
"Records Found","5284"
"Records Returned","5284"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus"
"451927","occ","20206","","44223","Heterosorex wangi","species","114943","","Heterosorex wangi","species","114943","Turolian","","8.7","5.333","26248","Chordata","Mammalia","NO_ORDER_SPECIFIED","Heterosoricidae","Heterosorex"
"451931","occ","20209","","44223","Anourosorex oblongus","species","115141","","Anourosorex oblongus","species","115141","Turolian","","8.7","5.333","26248","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Anourosorex"
"451956","occ","20211","","44224","Lanthanotherium sanmigueli","species","114868","","Lanthanotherium sanmigueli","species","114868","Turolian","","8.7","5.333","26248","Chordata","Mammalia","NO_ORDER_SPECIFIED","Erinaceidae","Lanthanotherium"
"451957","occ","20212","","44224","Yunoscaptor scalprum","species","115145","","Yunoscaptor scalprum","species","115145","Turolian","","8.7","5.333","26248","Chordata","Mammalia","NO_ORDER_SPECIFIED","Talpidae","Yunoscaptor"
"451958","occ","20213","","44224","Heterosorex n. sp. wangi","species","114943","","Heterosorex wangi","species","114943","Turolian","","8.7","5.333","26248","Chordata","Mammalia","NO_ORDER_SPECIFIED","Heterosoricidae","Heterosorex"
"451962","occ","20216","","44224","Anourosorex n. sp. oblongus","species","115141","","Anourosorex oblongus","species","115141","Turolian","","8.7","5.333","26248","Chordata","Mammalia","NO_ORDER_SPECIFIED","Soricidae","Anourosorex"
"451979","occ","","","44219","Sivaonyx bathygnathus","species","438269","","Sivaonyx bathygnathus","species","156337","Turolian","","8.7","5.333","11437","Chordata","Mammalia","Carnivora","Mustelidae","Sivaonyx"
"451982","occ","","","44220","Indarctos sinensis","species","90198","subjective synonym of","Indarctos atticus","species","90196","Turolian","","8.7","5.333","11437","Chordata","Mammalia","Carnivora","Ursidae","Indarctos"
"451987","occ","","","44220","Sivaonyx bathygnathus","species","438269","","Sivaonyx bathygnathus","species","156337","Turolian","","8.7","5.333","11437","Chordata","Mammalia","Carnivora","Mustelidae","Sivaonyx"
"451996","occ","","","44221","Eomellivora cf. wimani","species","46169","","Eomellivora wimani","species","46169","Turolian","","8.7","5.333","11437","Chordata","Mammalia","Carnivora","Mustelidae","Eomellivora"
"451997","occ","","","44221","Sivaonyx bathygnathus","species","438269","","Sivaonyx bathygnathus","species","156337","Turolian","","8.7","5.333","11437","Chordata","Mammalia","Carnivora","Mustelidae","Sivaonyx"
"452007","occ","","","44222","Sivaonyx bathygnathus","species","438269","","Sivaonyx bathygnathus","species","156337","Turolian","","8.7","5.333","11437","Chordata","Mammalia","Carnivora","Mustelidae","Sivaonyx"
"452018","occ","","","44223","Sivaonyx bathygnathus","species","438269","","Sivaonyx bathygnathus","species","156337","Turolian","","8.7","5.333","11437","Chordata","Mammalia","Carnivora","Mustelidae","Sivaonyx"
"452029","occ","","","44224","Sivaonyx bathygnathus","species","438269","","Sivaonyx bathygnathus","species","156337","Turolian","","8.7","5.333","11437","Chordata","Mammalia","Carnivora","Mustelidae","Sivaonyx"
"452307","occ","","","44219","Laccopithecus robustus","species","58366","","Laccopithecus robustus","species","58366","Turolian","","8.7","5.333","11433","Chordata","Mammalia","Primates","Pliopithecidae","Laccopithecus"
"452308","occ","","","44220","Laccopithecus robustus","species","58366","","Laccopithecus robustus","species","58366","Turolian","","8.7","5.333","11433","Chordata","Mammalia","Primates","Pliopithecidae","Laccopithecus"
"452309","occ","","","44221","Laccopithecus robustus","species","58366","","Laccopithecus robustus","species","58366","Turolian","","8.7","5.333","11433","Chordata","Mammalia","Primates","Pliopithecidae","Laccopithecus"
"452310","occ","","","44222","Laccopithecus robustus","species","58366","","Laccopithecus robustus","species","58366","Turolian","","8.7","5.333","11433","Chordata","Mammalia","Primates","Pliopithecidae","Laccopithecus"
"452311","occ","","","44223","Laccopithecus robustus","species","58366","","Laccopithecus robustus","species","58366","Turolian","","8.7","5.333","11433","Chordata","Mammalia","Primates","Pliopithecidae","Laccopithecus"
"452312","occ","","","44224","Laccopithecus robustus","species","58366","","Laccopithecus robustus","species","58366","Turolian","","8.7","5.333","11433","Chordata","Mammalia","Primates","Pliopithecidae","Laccopithecus"
"461398","occ","","","45524","n. gen. Attockicetus n. sp. praecursor","species","62970","","Attockicetus praecursor","species","62970","Lutetian","","47.8","41.3","11942","Chordata","Mammalia","Cetacea","Remingtonocetidae","Attockicetus"
"461438","occ","","","45527","n. gen. Ambulocetus n. sp. natans","species","62971","","Ambulocetus natans","species","62971","Lutetian","","47.8","41.3","11943","Chordata","Mammalia","Cetacea","Ambulocetidae","Ambulocetus"
"461452","occ","","","45529","n. gen. Basalina n. sp. basalensis","species","62972","","Basalina basalensis","species","62972","Lutetian","","47.8","41.3","11944","Chordata","Mammalia","Tillodontia","NO_FAMILY_SPECIFIED","Basalina"
"461455","occ","","","45529","n. gen. Ichthyolestes n. sp. pinfoldi","species","62974","","Ichthyolestes pinfoldi","species","62974","Lutetian","","47.8","41.3","11944","Chordata","Mammalia","Cetacea","Pakicetidae","Ichthyolestes"
"461456","occ","","","45529","Promioclaenus ? n. sp. gandaensis","species","62975","recombined as","Dulcidon gandaensis","species","62975","Lutetian","","47.8","41.3","11944","Chordata","Mammalia","Artiodactyla","Dichobunidae","Dulcidon"
"461457","occ","","","45529","Eotitanops ? n. sp. dayi","species","62976","","Eotitanops dayi","species","62976","Lutetian","","47.8","41.3","11944","Chordata","Mammalia","Perissodactyla","Brontotheriidae","Eotitanops"
"461458","occ","","","45529","Teleolophus ? n. sp. daviesi","species","62977","","Teleolophus daviesi","species","62977","Lutetian","","47.8","41.3","11944","Chordata","Mammalia","Perissodactyla","Tapiridae","Teleolophus"
"461460","occ","","","45529","n. gen. Haqueina n. sp. haquei","species","62978","","Haqueina haquei","species","62978","Lutetian","","47.8","41.3","11944","Chordata","Mammalia","Artiodactyla","Dichobunidae","Haqueina"
"461461","occ","","","45529","Khirtharia dayi","species","66815","","Khirtharia dayi","species","66815","Lutetian","","47.8","41.3","11944","Chordata","Mammalia","Artiodactyla","Raoellidae","Khirtharia"
"461463","occ","","","45529","n. gen. Pilgrimella wardi","species","67462","recombined as","Anthracobune wardi","species","67460","Lutetian","","47.8","41.3","11944","Chordata","Mammalia","Perissodactyla","Anthracobunidae","Anthracobune"
"461464","occ","","","45529","Anthracobune pinfoldi","species","66814","","Anthracobune pinfoldi","species","66814","Lutetian","","47.8","41.3","11944","Chordata","Mammalia","Perissodactyla","Anthracobunidae","Anthracobune"
"461465","occ","11937","","45529","n. gen. Lammidhania wardi","species","67461","recombined as","Anthracobune wardi","species","67460","Lutetian","","47.8","41.3","12007","Chordata","Mammalia","Perissodactyla","Anthracobunidae","Anthracobune"
"462021","occ","","","45584","n. gen. Himalayacetus n. sp. subathuensis","species","63094","","Himalayacetus subathuensis","species","63094","Ypresian","","56","47.8","11985","Chordata","Mammalia","Cetacea","Pakicetidae","Himalayacetus"
"462022","occ","","","45583","n. gen. Kutchicetus n. sp. minimus","species","63096","","Kutchicetus minimus","species","63096","Lutetian","","47.8","41.3","11985","Chordata","Mammalia","Cetacea","Remingtonocetidae","Kutchicetus"
"462050","occ","","","45529","Pakicetus attocki","species","53312","","Pakicetus attocki","species","53311","Lutetian","","47.8","41.3","11990","Chordata","Mammalia","Cetacea","Pakicetidae","Pakicetus"
"462051","occ","","","45586","n. gen. Nalacetus n. sp. ratimitus","species","63098","","Nalacetus ratimitus","species","63098","Lutetian","","47.8","41.3","11990","Chordata","Mammalia","Cetacea","Pakicetidae","Nalacetus"
"462052","occ","15613","","45586","Pakicetus attocki","species","53312","","Pakicetus attocki","species","53311","Lutetian","","47.8","41.3","8326","Chordata","Mammalia","Cetacea","Pakicetidae","Pakicetus"
"462053","occ","","","45586","Pakicetus inachus","species","53310","","Pakicetus inachus","species","53310","Lutetian","","47.8","41.3","11990","Chordata","Mammalia","Cetacea","Pakicetidae","Pakicetus"
"462054","occ","","","45587","Ichthyolestes pinfoldi","species","62974","","Ichthyolestes pinfoldi","species","62974","Lutetian","","47.8","41.3","11990","Chordata","Mammalia","Cetacea","Pakicetidae","Ichthyolestes"
"462056","occ","","","28978","Ichthyolestes pinfoldi","species","62974","","Ichthyolestes pinfoldi","species","62974","Lutetian","","47.8","41.3","11990","Chordata","Mammalia","Cetacea","Pakicetidae","Ichthyolestes"
"462063","occ","","","45590","n. gen. Indocetus n. sp. ramani","species","53308","","Indocetus ramani","species","53308","Lutetian","","47.8","41.3","11991","Chordata","Mammalia","Cetacea","Protocetidae","Indocetus"
"462064","occ","","","45590","Protocetus sloani","species","63120","recombined as","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.3","11991","Chordata","Mammalia","Cetacea","Remingtonocetidae","Andrewsiphius"
"462065","occ","11942","","45590","Remingtonocetus harudiensis","species","63122","","Remingtonocetus harudiensis","species","53238","Lutetian","","47.8","41.3","11997","Chordata","Mammalia","Cetacea","Remingtonocetidae","Remingtonocetus"
"462066","occ","","","45590","n. gen. Andrewsiphius n. sp. minor","species","63121","subjective synonym of","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.3","11991","Chordata","Mammalia","Cetacea","Remingtonocetidae","Andrewsiphius"
"462073","occ","","","45591","n. gen. Andrewsiphius n. sp. kutchensis","species","53236","subjective synonym of","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.3","11991","Chordata","Mammalia","Cetacea","Remingtonocetidae","Andrewsiphius"
"462077","occ","","","45592","n. gen. Babiacetus n. sp. indicus","species","53314","","Babiacetus indicus","species","53314","Lutetian","","47.8","41.3","11993","Chordata","Mammalia","Cetacea","Protocetidae","Babiacetus"
"462119","occ","","","45592","Babiacetus n. sp. mishrai","species","63126","","Babiacetus mishrai","species","63126","Lutetian","","47.8","41.3","11997","Chordata","Mammalia","Cetacea","Protocetidae","Babiacetus"
"462339","occ","","","45590","Gaviacetus n. sp. sahnii","species","63127","recombined as","Kharodacetus sahnii","species","63127","Lutetian","","47.8","41.3","11997","Chordata","Mammalia","Cetacea","Protocetidae","Kharodacetus"
"462340","occ","","","45590","Andrewsiphius kutchensis","species","53236","subjective synonym of","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.3","11997","Chordata","Mammalia","Cetacea","Remingtonocetidae","Andrewsiphius"
"462341","occ","","","45592","Remingtonocetus sloani","species","63125","recombined as","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.3","11997","Chordata","Mammalia","Cetacea","Remingtonocetidae","Andrewsiphius"
"462342","occ","","","45592","Andrewsiphius kutchensis","species","53236","subjective synonym of","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.3","11997","Chordata","Mammalia","Cetacea","Remingtonocetidae","Andrewsiphius"
"462343","occ","","","45592","Gaviacetus sahnii","species","63127","recombined as","Kharodacetus sahnii","species","63127","Lutetian","","47.8","41.3","11997","Chordata","Mammalia","Cetacea","Protocetidae","Kharodacetus"
"462489","occ","","","28978","Khirtharia dayi","species","66815","","Khirtharia dayi","species","66815","Lutetian","","47.8","41.3","12009","Chordata","Mammalia","Artiodactyla","Raoellidae","Khirtharia"
"462490","occ","","","28978","Anthracobune pinfoldi","species","66814","","Anthracobune pinfoldi","species","66814","Lutetian","","47.8","41.3","12009","Chordata","Mammalia","Perissodactyla","Anthracobunidae","Anthracobune"
"462492","occ","","","28978","n. gen. Chorlakkia n. sp. hassani","species","101110","","Chorlakkia hassani","species","101110","Lutetian","","47.8","41.3","13810","Chordata","Mammalia","Artiodactyla","Dichobunidae","Chorlakkia"
"462493","occ","13223","","28978","Birbalomys sondaari","species","66483","","Birbalomys sondaari","species","66482","Lutetian","","47.8","41.3","13077","Chordata","Mammalia","Rodentia","Chapattimyidae","Birbalomys"
"462495","occ","","","45623","Remingtonocetus n. sp. domandaensis","species","53239","","Remingtonocetus domandaensis","species","53239","Lutetian","","47.8","41.3","7933","Chordata","Mammalia","Cetacea","Remingtonocetidae","Remingtonocetus"
"462496","occ","","","45623","n. gen. Qaisracetus n. sp. arifi","species","53243","","Qaisracetus arifi","species","53243","Lutetian","","47.8","41.3","7933","Chordata","Mammalia","Cetacea","Protocetidae","Qaisracetus"
"462497","occ","","","45624","Qaisracetus arifi","species","53243","","Qaisracetus arifi","species","53243","Lutetian","","47.8","41.3","7933","Chordata","Mammalia","Cetacea","Protocetidae","Qaisracetus"
"462510","occ","","","45586","Ichthyolestes pinfoldi","species","62974","","Ichthyolestes pinfoldi","species","62974","Lutetian","","47.8","41.3","12002","Chordata","Mammalia","Cetacea","Pakicetidae","Ichthyolestes"
"462511","occ","","","45586","Khirtharia dayi","species","66815","","Khirtharia dayi","species","66815","Lutetian","","47.8","41.3","12002","Chordata","Mammalia","Artiodactyla","Raoellidae","Khirtharia"
"462512","occ","","","28978","Pakilestes lathrius","species","63177","","Pakilestes lathrius","species","63177","Lutetian","","47.8","41.3","13809","Chordata","Mammalia","NO_ORDER_SPECIFIED","Plesiosoricidae","Pakilestes"
"462513","occ","","","28978","Seia shahi","species","144006","","Seia shahi","species","144006","Lutetian","","47.8","41.3","13809","Chordata","Mammalia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Seia"
"462515","occ","","","28978","n. gen. Kohatius n. sp. coppensi","species","144167","","Kohatius coppensi","species","144167","Lutetian","","47.8","41.3","29559","Chordata","Mammalia","Primates","Omomyidae","Kohatius"
"462516","occ","","","28978","Birbalomys ijlsti","species","66484","recombined as","Basalomys ijlsti","species","67675","Lutetian","","47.8","41.3","12019","Chordata","Mammalia","Rodentia","Chapattimyidae","Basalomys"
"462517","occ","","","28978","Birbalomys sondaari","species","66483","","Birbalomys sondaari","species","66482","Lutetian","","47.8","41.3","12019","Chordata","Mammalia","Rodentia","Chapattimyidae","Birbalomys"
"462519","occ","","","28978","Birbalomys woodi ?","species","66480","","Birbalomys woodi","species","66480","Lutetian","","47.8","41.3","12019","Chordata","Mammalia","Rodentia","Chapattimyidae","Birbalomys"
"462520","occ","","","28978","Chapattimys wilsoni","species","66523","","Chapattimys wilsoni","species","66523","Lutetian","","47.8","41.3","12019","Chordata","Mammalia","Rodentia","Chapattimyidae","Chapattimys"
"462521","occ","","","28978","Chapattimys debruijni","species","66481","","Chapattimys debruijni","species","66481","Lutetian","","47.8","41.3","12019","Chordata","Mammalia","Rodentia","Chapattimyidae","Chapattimys"
"462523","occ","","","28978","Gumbatomys asifi","species","67025","","Gumbatomys asifi","species","67025","Lutetian","","47.8","41.3","12019","Chordata","Mammalia","Rodentia","Chapattimyidae","Gumbatomys"
"462524","occ","","","28978","Basalina basalensis","species","62972","","Basalina basalensis","species","62972","Lutetian","","47.8","41.3","12019","Chordata","Mammalia","Tillodontia","NO_FAMILY_SPECIFIED","Basalina"
"462525","occ","","","28978","Paratritemnodon indicus","species","144281","","Paratritemnodon indicus","species","144281","Lutetian","","47.8","41.3","12019","Chordata","Mammalia","Hyaenodonta","NO_FAMILY_SPECIFIED","Paratritemnodon"
"462527","occ","","","28978","Diacodexis pakistanensis","species","68275","recombined as","Gujaratia pakistanensis","species","68275","Lutetian","","47.8","41.3","12019","Chordata","Mammalia","Artiodactyla","Diacodexeidae","Diacodexis"
"462528","occ","","","28978","Eotitanops ? dayi","species","62976","","Eotitanops dayi","species","62976","Lutetian","","47.8","41.3","12019","Chordata","Mammalia","Perissodactyla","Brontotheriidae","Eotitanops"
"462529","occ","","","28978","Lammidhania wardi","species","67461","recombined as","Anthracobune wardi","species","67460","Lutetian","","47.8","41.3","12019","Chordata","Mammalia","Perissodactyla","Anthracobunidae","Anthracobune"
"462530","occ","","","28978","Pilgrimella pilgrimi","species","62979","subjective synonym of","Anthracobune pinfoldi","species","66814","Lutetian","","47.8","41.3","12019","Chordata","Mammalia","Perissodactyla","Anthracobunidae","Anthracobune"
"462616","occ","","","45588","n. gen. Metkatius n. sp. kashmiriensis","species","63191","","Metkatius kashmiriensis","species","63191","Ypresian","","56","47.8","12021","Chordata","Mammalia","Artiodactyla","Raoellidae","Metkatius"
"462617","occ","","","45588","Khirtharia inflatus","species","86789","","Khirtharia inflatus","species","69128","Ypresian","","56","47.8","12021","Chordata","Mammalia","Artiodactyla","Raoellidae","Khirtharia"
"462618","occ","","","45588","Kunmunella kalakotensis","species","86793","","Kunmunella kalakotensis","species","86792","Ypresian","","56","47.8","12021","Chordata","Mammalia","Artiodactyla","Raoellidae","Kunmunella"
"462619","occ","","","45588","Kunmunella n. sp. transversa","species","86795","","Kunmunella transversa","species","86795","Ypresian","","56","47.8","12021","Chordata","Mammalia","Artiodactyla","Raoellidae","Kunmunella"
"462620","occ","","","45588","Indohyus indirae","species","86796","","Indohyus indirae","species","86796","Ypresian","","56","47.8","12021","Chordata","Mammalia","Artiodactyla","Raoellidae","Indohyus"
"462621","occ","11943","","45588","Pakicetus attocki","species","53312","","Pakicetus attocki","species","53311","Ypresian","","56","47.8","11990","Chordata","Mammalia","Cetacea","Pakicetidae","Pakicetus"
"463387","occ","","","45737","n. gen. Ferecetotherium n. sp. kelloggi","species","63229","","Ferecetotherium kelloggi","species","63229","Chattian","","28.1","23.03","12108","Chordata","Mammalia","Cetacea","NO_FAMILY_SPECIFIED","Ferecetotherium"
"463393","occ","","","45737","Squalodon n. sp. barbarus","species","63449","","Squalodon barbarus","species","63449","Chattian","","28.1","23.03","12109","Chordata","Mammalia","Cetacea","Squalodontidae","Squalodon"
"463411","occ","","","45737","n. gen. Atropatenocetus n. sp. posteocenicus","species","63454","","Atropatenocetus posteocenicus","species","63454","Chattian","","28.1","23.03","12120","Chordata","Mammalia","Cetacea","NO_FAMILY_SPECIFIED","Atropatenocetus"
"463490","occ","","","45737","n. gen. Oligodelphis n. sp. azerbajdzanicus","species","63250","","Oligodelphis azerbajdzanicus","species","63250","Chattian","","28.1","23.03","12109","Chordata","Mammalia","Cetacea","NO_FAMILY_SPECIFIED","Oligodelphis"
"463508","occ","","","45737","n. gen. Iniopsis n. sp. caucasica","species","63248","","Iniopsis caucasica","species","63248","Chattian","","28.1","23.03","12109","Chordata","Mammalia","Cetacea","Eurhinodelphinidae","Iniopsis"
"463538","occ","","","45786","n. gen. Morawanocetus n. sp. yabukii","species","63480","","Morawanocetus yabukii","species","63480","Chattian","","28.1","23.03","12130","Chordata","Mammalia","Cetacea","Aetiocetidae","Chonecetus"
"463539","occ","","","45787","Aetiocetus n. sp. tomitai","species","63482","recombined as","Chonecetus tomitai","species","63482","Chattian","","28.1","23.03","12130","Chordata","Mammalia","Cetacea","Aetiocetidae","Chonecetus"
"463541","occ","","","45786","Aetiocetus n. sp. polydentatus","species","63484","","Aetiocetus polydentatus","species","63484","Chattian","","28.1","23.03","12130","Chordata","Mammalia","Cetacea","Aetiocetidae","Aetiocetus"
"463721","occ","","","13096","Patriocetus n. sp. kazakhstanicus","species","63498","","Patriocetus kazakhstanicus","species","63498","Chattian","","28.1","23.03","12143","Chordata","Mammalia","Cetacea","Patriocetidae","Patriocetus"
"463727","occ","","","45803","n. gen. Numataphocoena n. sp. yamashitai","species","63500","","Numataphocoena yamashitai","species","63500","Zanclean","","5.333","3.6","12144","Chordata","Mammalia","Cetacea","Phocoenidae","Numataphocoena"
"463728","occ","27493","","45804","n. gen. Yamatocetus n. sp. canaliculatus","species","247312","","Yamatocetus canaliculatus","species","247312","Chattian","","28.1","23.03","42975","Chordata","Mammalia","Cetacea","Eomysticetidae","Yamatocetus"
"464092","occ","","","45832","Metasqualodon n. sp. symmetricus","species","67567","","Metasqualodon symmetricus","species","67567","Chattian","","28.1","23.03","12180","Chordata","Mammalia","Cetacea","NO_FAMILY_SPECIFIED","Metasqualodon"
"464096","occ","","","45833","Metasqualodon symmetricus","species","67567","","Metasqualodon symmetricus","species","67567","Chattian","","28.1","23.03","12179","Chordata","Mammalia","Cetacea","NO_FAMILY_SPECIFIED","Metasqualodon"
"464098","occ","","","45834","Metasqualodon symmetricus","species","67567","","Metasqualodon symmetricus","species","67567","Chattian","","28.1","23.03","12179","Chordata","Mammalia","Cetacea","NO_FAMILY_SPECIFIED","Metasqualodon"
"465340","occ","","","46041","Ontocetus oxymycterus","species","62926","recombined as","Albicetus oxymycterus","species","62926","Middle Miocene","","15.97","11.608","12274","Chordata","Mammalia","Cetacea","NO_FAMILY_SPECIFIED","Albicetus"
"465342","occ","","","46043","Pseudorca n. sp. yokoyamai","species","63804","","Pseudorca yokoyamai","species","63804","Calabrian","","1.806","0.781","12274","Chordata","Mammalia","Cetacea","Delphinidae","Pseudorca"
"465343","occ","","","46044","Pseudorca yokoyamai","species","63804","","Pseudorca yokoyamai","species","63804","Pliocene","","5.333","2.588","12274","Chordata","Mammalia","Cetacea","Delphinidae","Pseudorca"
"466127","occ","","","46193","n. gen. Lushius n. sp. qinlinensis","species","144312","","Lushius qinlinensis","species","144312","Middle Eocene","","48.6","37.2","60012","Chordata","Mammalia","Primates","NO_FAMILY_SPECIFIED","Lushius"
"466129","occ","","","46193","n. gen. Lushilagus n. sp. lohoensis","species","332271","","Lushilagus lohoensis","species","332271","Middle Eocene","","48.6","37.2","57103","Chordata","Mammalia","Lagomorpha","Leporidae","Lushilagus"
"466130","occ","","","46193","n. gen. Tsinlingomys n. sp. youngi","species","345861","","Tsinlingomys youngi","species","345861","Middle Eocene","","48.6","37.2","60055","Chordata","Mammalia","Rodentia","NO_FAMILY_SPECIFIED","Tsinlingomys"
"466131","occ","","","46193","Miacis aff. invictus","species","142992","","Miacis invictus","species","142992","Middle Eocene","","48.6","37.2","11241","Chordata","Mammalia","Carnivora","Miacidae","Miacis"
"466135","occ","","","46193","n. gen. Paratriisodon n. sp. henanensis","species","345752","","Paratriisodon henanensis","species","345752","Middle Eocene","","48.6","37.2","60013","Chordata","Mammalia","NO_ORDER_SPECIFIED","Arctocyonidae","Paratriisodon"
"466138","occ","","","46193","Honanodon n. sp. macrodontus","species","345856","","Honanodon macrodontus","species","345856","Middle Eocene","","48.6","37.2","60051","Chordata","Mammalia","Acreodi","Mesonychidae","Honanodon"
"466139","occ","","","46193","Hapalodectes n. sp. lushiensis","species","345857","","Hapalodectes lushiensis","species","345857","Middle Eocene","","48.6","37.2","60051","Chordata","Mammalia","Acreodi","Hapalodectidae","Hapalodectes"
"466148","occ","","","46193","n. gen. Lushiamynodon n. sp. menchiapuensis","species","345896","","Lushiamynodon menchiapuensis","species","345896","Middle Eocene","","48.6","37.2","60070","Chordata","Mammalia","Perissodactyla","Amynodontidae","Sharamynodon"
"466149","occ","","","46193","Sianodon n. sp. honanensis","species","345899","","Sianodon honanensis","species","345899","Middle Eocene","","48.6","37.2","60070","Chordata","Mammalia","Perissodactyla","Amynodontidae","Cadurcodon"
"466155","occ","","","46193","Gobiohyus orientalis","species","142993","","Gobiohyus orientalis","species","142993","Middle Eocene","","48.6","37.2","11241","Chordata","Mammalia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Gobiohyus"
"466156","occ","","","46193","Gobiohyus robustus","species","142995","","Gobiohyus robustus","species","142995","Middle Eocene","","48.6","37.2","11241","Chordata","Mammalia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Gobiohyus"
"466160","occ","","","46194","Gazella cf. gaudryi","species","402649","","Gazella gaudryi","species","402649","Pliocene","","5.333","2.588","12322","Chordata","Mammalia","Artiodactyla","Bovidae","Gazella"
"466167","occ","32585","","46196","Gobiatherium mirificum","species","101348","","Gobiatherium mirificum","species","101348","Early Eocene","","55.8","48.6","59843","Chordata","Mammalia","Dinocerata","Uintatheriidae","Gobiatherium"
"466171","occ","","","46197","Miacis aff. invictus","species","142992","","Miacis invictus","species","142992","Middle Eocene","","48.6","37.2","11241","Chordata","Mammalia","Carnivora","Miacidae","Miacis"
"472420","occ","","","46946","n. gen. Isanacetus n. sp. laticephalus","species","64147","","Isanacetus laticephalus","species","64147","Burdigalian","","20.44","15.97","12471","Chordata","Mammalia","Cetacea","NO_FAMILY_SPECIFIED","Isanacetus"
"472443","occ","","","46950","Isanacetus laticephalus","species","64147","","Isanacetus laticephalus","species","64147","Burdigalian","","20.44","15.97","12471","Chordata","Mammalia","Cetacea","NO_FAMILY_SPECIFIED","Isanacetus"
"474030","occ","","","47021","Dorcatherium cf. libiensis","species","352948","","Dorcatherium libiensis","species","352948","Early Miocene","","23.03","15.97","12499","Chordata","Mammalia","Artiodactyla","Tragulidae","Dorcatherium"
"474037","occ","","","47024","Dorcatherium cf. libiensis","species","352948","","Dorcatherium libiensis","species","352948","Early Miocene","","23.03","15.97","12499","Chordata","Mammalia","Artiodactyla","Tragulidae","Dorcatherium"
"474085","occ","","","47026","Dorcatherium cf. libiensis","species","352948","","Dorcatherium libiensis","species","352948","Early Miocene","","23.03","15.97","12499","Chordata","Mammalia","Artiodactyla","Tragulidae","Dorcatherium"
"474569","occ","","","47069","Pachyhyrax aff. championi","species","143639","recombined as","Afrohyrax championi","species","143637","Early Miocene","","23.03","15.97","12499","Chordata","Mammalia","Hyracoidea","Titanohyracidae","Afrohyrax"
"474572","occ","","","47069","Pseudaelurus turnauensis","species","136632","","Pseudaelurus turnauensis","species","136632","Early Miocene","","23.03","15.97","12499","Chordata","Mammalia","Carnivora","Felidae","Pseudaelurus"
"474575","occ","","","47069","cf. Canthumeryx sirtensis","species","132662","","Canthumeryx sirtensis","species","132662","Early Miocene","","23.03","15.97","12499","Chordata","Mammalia","Artiodactyla","Giraffidae","Canthumeryx"
"474587","occ","13521","","47069","Paraphiomys n. sp. knolli","species","67843","","Paraphiomys knolli","species","67843","Early Miocene","","23.03","15.97","14553","Chordata","Mammalia","Rodentia","Thryonomyidae","Paraphiomys"
"474615","occ","","","47074","cf. Canthumeryx sirtensis","species","132662","","Canthumeryx sirtensis","species","132662","Early Miocene","","23.03","15.97","12499","Chordata","Mammalia","Artiodactyla","Giraffidae","Canthumeryx"
"474617","occ","","","47074","Dorcatherium cf. libiensis","species","352948","","Dorcatherium libiensis","species","352948","Early Miocene","","23.03","15.97","12499","Chordata","Mammalia","Artiodactyla","Tragulidae","Dorcatherium"
"478287","occ","15592","","47462","Herpetocetus sendaicus","species","81557","","Herpetocetus sendaicus","species","64586","Early Pliocene","","5.333","3.6","15356","Chordata","Mammalia","Cetacea","Cetotheriidae","Herpetocetus"
"478288","occ","","","47462","""Delphinus"" n. sp. rikuzenensis","species","64589","","Delphinus rikuzenensis","species","64589","Early Pliocene","","5.333","3.6","12758","Chordata","Mammalia","Cetacea","Delphinidae","Delphinus"
"478693","occ","","","47619","n. gen. Imerodelphis n. sp. thabagarii","species","64605","","Imerodelphis thabagarii","species","64605","Serravallian","","13.82","11.62","12757","Chordata","Mammalia","Cetacea","Kentriodontidae","Imerodelphis"
"478706","occ","19440","","47620","Champsodelphis cf. fuchsii","species","65723","recombined as","Kentriodon fuchsii","species","65723","Serravallian","","13.82","11.62","24600","Chordata","Mammalia","Cetacea","Kentriodontidae","Kentriodon"
